zip,count
07071,5
07072,1
07073,1
07075,1
07076,4
07078,2
07079,6
07080,5
07081,6
07082,5
07083,6
07086,9
07087,4
07090,7
07092,2
07093,2
07094,3
07095,3
07103,1
07104,2
07105,4
07106,1
07108,1
07109,3
07110,6
07111,4
07114,1
07201,1
07202,3
07203,3
07204,3
07205,1
07206,2
07207,1
07208,1
07230,1
07302,12
07304,4
07305,2
07306,10
07307,6
07310,5
07311,1
07403,2
07405,4
07407,3
07410,6
07416,1
07417,3
07418,2
07419,3
07420,2
07421,7
07422,1
07423,3
07424,5
07430,4
07432,3
07436,5
07438,13
07439,1
07440,2
07442,3
07444,3
07446,4
07450,9
07452,2
07456,7
07458,3
07460,4
07461,8
07462,1
07463,4
07465,2
07470,9
07480,11
07481,8
07502,1
07503,1
07505,1
07506,4
07508,5
07509,1
07512,1
07514,1
07534,1
07601,5
07603,5
07604,4
07605,2
07606,1
07607,2
07621,1
07624,2
07626,3
07627,1
07628,4
07630,2
07631,5
07632,2
07640,3
07641,2
07642,1
07644,4
07645,4
07646,1
07648,2
07650,3
07652,9
07656,4
07661,5
07666,6
07670,2
07675,4
07676,4
07677,1
07701,3
07702,2
07704,2
07712,12
07716,9
07718,3
07719,10
07720,3
07722,4
07724,5
07726,12
07727,5
07728,12
07730,9
07731,10
07732,4
07733,4
07734,1
07735,6
07737,1
07738,1
07739,1
07740,3
07746,2
07747,12
07748,8
07751,2
07753,7
07755,1
07756,1
07757,4
07758,3
07760,1
07762,6
07801,1
07803,1
07821,8
07823,2
07825,5
07826,4
07828,5
07830,1
07832,2
07834,5
07836,4
07838,1
07840,12
07843,1
07844,1
07845,1
07847,1
07848,2
07849,5
07850,3
07852,2
07853,16
07856,5
07857,1
07860,8
07865,1
07866,7
07869,12
07871,12
07876,1
07882,9
07885,5
07901,3
07920,8
07921,3
07922,1
07924,2
07927,2
07928,4
07930,2
07932,3
07936,7
07940,3
07945,5
07946,1
07950,7
07960,15
07974,1
07976,2
07979,1
07981,5
07982,1
080001,1
08002,7
08003,7
08004,4
08005,8
08008,8
08009,10
08010,2
08012,8
08014,1
08015,4
08016,16
08020,4
08021,9
08022,3
08027,3
08028,5
08030,1
08031,1
08033,10
08034,10
08035,3
08036,3
08037,10
08039,1
08043,10
08046,3
08048,4
08049,1
08050,12
08051,1
08052,5
08053,19
08054,15
08055,10
08056,3
08057,4
08059,4
08060,10
08061,1
08062,7
08065,1
08067,2
08068,4
08069,3
08070,2
08071,1
08075,7
08077,7
08078,2
08079,2
08080,10
08081,7
08083,2
08084,3
08085,5
08086,3
08087,6
08088,12
08089,2
08090,1
08091,1
08092,3
08093,2
08094,14
08096,4
08097,1
08098,4
08102,1
08104,1
08106,3
08107,2
08108,10
08109,6
08110,1
08130,1
08201,5
08203,8
08204,9
08205,14
08210,11
08215,6
08217,1
08220,1
08221,14
08223,3
08225,3
08226,7
08230,6
08232,4
08234,26
08241,3
08242,2
08244,5
08247,1
08251,1
08253,1
08260,2
08270,6
08302,6
08312,5
08318,5
08319,1
08322,4
08324,1
08326,1
08327,1
08330,21
08332,6
08343,2
08344,2
08345,1
08346,1
08360,11
08361,9
08401,4
08402,2
08403,1
08406,1
08501,6
08502,1
08505,3
08510,2
08512,2
08514,4
08515,1
08520,3
08525,5
08527,18
08530,5
08533,2
08534,8
08535,4
08536,4
08540,11
08542,1
08550,4
08551,5
08554,2
08558,5
08559,2
08560,1
08562,2
08610,4
08611,1
08618,3
08619,7
08620,1
08628,3
08629,3
08638,1
08640,1
08648,12
08690,8
08691,7
08701,1
08721,7
08722,7
08723,9
08724,16
08730,4
08731,6
08733,1
08734,4
08735,1
08736,4
08740,2
08741,3
08742,8
08750,2
08751,1
08752,1
08753,22
08755,5
08757,6
08758,3
08759,5
08801,9
08802,7
08804,2
08805,4
08807,8
08809,3
08810,1
08812,3
08816,14
08817,2
08820,7
08822,17
08824,6
08825,4
08826,4
08827,4
08830,3
08831,14
08833,7
08835,2
08837,5
08840,10
08844,14
08846,2
08848,5
08852,6
08853,1
08854,12
08857,8
08859,6
08863,1
08865,9
08867,4
08871,1
08872,1
08873,18
08876,10
08879,7
08882,2
08884,1
08885,1
08886,4
08887,1
08889,9
08901,4
08902,5
08904,2
09009,1
090112,1
090508,1
09096,1
09104,1
09114,1
09173,1
09459,1
09464,1
09494,1
09603,1
09661,1
09834,1
1000,1
10001,6
10002,13
100029,1
10003,10
100036,1
10004,1
10005,1
10006,3
10009,2
10010,7
10011,10
10012,5
10013,5
10014,4
10016,5
10017,1
10018,3
10019,9
10021,4
10022,4
10023,8
10024,8
10025,16
10026,6
10027,9
10028,1
10029,9
10030,1
10031,8
10032,2
10033,6
10034,4
10035,4
10036,2
10038,1
10039,2
10040,4
10044,2
10065,6
10069,1
10075,2
10100,1
10120,1
10128,15
1020,1
1023,1
10280,3
10282,2
1030,1
10301,3
10302,1
10303,1
10304,3
10305,4
10306,10
10307,4
10308,1
10309,6
10310,2
10312,10
10313,1
10314,8
10372,1
10394,1
1040,1
10411,1
10451,1
10452,4
10454,3
10455,2
10456,1
10457,1
10458,2
10460,3
10461,1
10462,6
10463,6
10464,1
10465,4
10466,2
10467,5
10468,2
10469,2
10470,2
10471,4
10472,1
10473,2
105,2
1050,1
10501,1
10504,1
10506,5
10507,1
10509,7
10510,2
10512,10
10514,6
10516,4
10518,1
10520,3
10522,6
10523,6
10524,3
10526,1
10527,1
10528,1
10530,1
10532,1
10533,2
10536,2
10538,3
10541,5
10543,5
10546,2
10547,1
10549,4
10552,3
10553,3
10560,1
10562,9
10566,1
10567,11
10570,2
10573,6
10577,1
10579,2
10580,5
10583,5
10589,1
10590,5
10591,6
10594,2
10595,3
10598,8
10603,4
